WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000100409,urn:lsid:ipni.org:names:77373217-1,Hieracium vulgatum subsp. ausugum,Murr & Zahn,Deutsche Bot. Monatsschr. 20: 38. 1902 [Mar 1902] ,,,
wfo-0000108941,urn:lsid:ipni.org:names:77373218-1,Hieracium levicaule subsp. ausugum,(Murr & Zahn) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 405. 1921 [10 May 1921] ",,Asteraceae Hieracium vulgatum Fr. subsp. ausugum Murr & Zahn,(Murr & Zahn)
wfo-1200067118,urn:lsid:ipni.org:names:77373219-1,Hieracium levicaule subsp. eurobreunium,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 405. 1921 [10 May 1921] ",,,
wfo-0000107608,urn:lsid:ipni.org:names:77373226-1,Hieracium divisum subsp. fissicladum,Zahn,Fl. Brixen [Heimerl] 306. 1911 [Jun 1911] ,,,
wfo-0000065316,urn:lsid:ipni.org:names:77373227-1,Hieracium levicaule subsp. fissicladum,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 405. 1921 [10 May 1921] ",,Asteraceae Hieracium divisum Jord. subsp. fissicladum Zahn,(Zahn)
wfo-1200116331,urn:lsid:ipni.org:names:77373228-1,Hieracium levicaule subsp. perscissiforme,Benz & Zahn,Syn. Mitteleur. Fl. 12: 705. 1935 [28 Feb 1935] ,,,
wfo-1200116332,urn:lsid:ipni.org:names:77373229-1,Hieracium caesium subsp. vitulimontis,Zahn,Fl. Brixen [Heimerl] 308. 1911 [May-Jun 1911] ,,,
wfo-0000110889,urn:lsid:ipni.org:names:77373244-1,Hieracium lycopifolium subsp. lycopifolioides,Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 347. 1905 [Sep 1905] ",,,
wfo-0000104565,urn:lsid:ipni.org:names:77373245-1,Hieracium lycopifolium subsp. pseudeminens,Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 346. 1905 [Sep 1905] ",,,
wfo-0000095817,urn:lsid:ipni.org:names:77373246-1,Hieracium vallisiacum var. trichoprenanthes,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1921. 1902 ",,,
wfo-0000112766,urn:lsid:ipni.org:names:77373247-1,Hieracium lycopifolium subsp. trichoprenanthes,(Zahn) Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 346. 1905 [Sep 1905] ",,Asteraceae Hieracium vallisiacum Fr. var. trichoprenanthes Zahn,(Zahn)
wfo-1000086794,urn:lsid:ipni.org:names:77373249-1,Piptolepis elaeodes,J.B.Cândido & Loeuille,Phytotaxa 733(1): 38. 2025 [9 Dec 2025] [epublished],,,
wfo-1000086795,urn:lsid:ipni.org:names:77373250-1,Piptolepis fulgens,J.B.Cândido & Loeuille,Phytotaxa 733(1): 43. 2025 [9 Dec 2025] [epublished],,,
wfo-1000086796,urn:lsid:ipni.org:names:77373251-1,Piptolepis redacta,J.B.Cândido & Loeuille,Phytotaxa 733(1): 57. 2025 [9 Dec 2025] [epublished],,,
wfo-1000086798,urn:lsid:ipni.org:names:77373253-1,Piptolepis speciosa,J.B.Cândido & Loeuille,Phytotaxa 733(1): 62. 2025 [9 Dec 2025] [epublished],,,
wfo-1000086810,urn:lsid:ipni.org:names:77373267-1,Aster yulaoensis,S.S.Ying,New Taxa New Names 8: 476. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086811,urn:lsid:ipni.org:names:77373268-1,Aster probatovae,(Tzvelev) S.S.Ying,"New Taxa New Names 8: 489. 2025 [30 Nov 2025] , as 'probatovaeus' [epublished]",,Asteraceae Heteropappus probatovae Tzvelev,(Tzvelev)
wfo-1000086812,urn:lsid:ipni.org:names:77373269-1,Aster georgeous,S.S.Ying,New Taxa New Names 8: 490. 2025 [30 Nov 2025] [epublished],,,
wfo-1000086813,urn:lsid:ipni.org:names:77373270-1,Aster willdenowii,S.S.Ying,New Taxa New Names 8: 490. 2025 [30 Nov 2025] [epublished],nom. illeg. later homonym    Contrary to Art. 53.2.,,
wfo-1000086814,urn:lsid:ipni.org:names:77373271-1,Aster taquetii,(H.Lév.) S.S.Ying,"New Taxa New Names 8: 490. 2025 [30 Nov 2025] , as 'taquetus' [epublished]",,Asteraceae Rhynchospermum taquetii H.Lév.,(H.Lév.)
wfo-1000086815,urn:lsid:ipni.org:names:77373272-1,Aster geniculatus,S.S.Ying,New Taxa New Names 8: 490. 2025 [30 Nov 2025] [epublished],nom. illeg. nom. superfl.,,
wfo-0000061907,urn:lsid:ipni.org:names:77373275-1,Hieracium maculatum subsp. divisum,(Jord.) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 516. 1921 [10 May 1921] ",,Asteraceae Hieracium divisum Jord.,(Jord.)
wfo-1000040340,urn:lsid:ipni.org:names:77373276-1,Hieracium mattiroloanum,Arv.-Touv. & Belli,Fl. Anal. Italia 3: 482. 1904 [Apr 1904] ,,,
wfo-1200067136,urn:lsid:ipni.org:names:77373277-1,Hieracium mattiroloanum subsp. farinulentiforme,(Zahn) Greuter,Willdenowia 37(1): 165. 2007 [31 Aug 2007] ,,Asteraceae Hieracium farinulentiforme Zahn,(Zahn)
wfo-1200067137,urn:lsid:ipni.org:names:77373278-1,Hieracium mattiroloanum subsp. martellianum,(Zahn) Greuter,Willdenowia 37(1): 165. 2007 [31 Aug 2007] ,,Asteraceae Hieracium farinulentiforme Zahn subsp. martellianum Zahn,(Zahn)
wfo-0000102263,urn:lsid:ipni.org:names:77373279-1,Hieracium monregalense subsp. gibellianum,(Arv.-Touv. & Belli) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 559. 1921 [10 May 1921] ",,Asteraceae Hieracium gibellianum Arv.-Touv. & Belli,(Arv.-Touv. & Belli)
wfo-0000102955,urn:lsid:ipni.org:names:77373280-1,Hieracium villiferum subsp. lanosum,Nägeli & Peter,Hierac. Mitt.-Eur. 2(1): 330. 1886 [Mar 1886] ,,,
wfo-0000097111,urn:lsid:ipni.org:names:77373281-1,Hieracium monregalense subsp. lanosum,(Nägeli & Peter) Zahn,Hierac. Alp. Mar. 250. 1916 [Dec 1916] ,,Asteraceae Hieracium villiferum Nägeli & Peter subsp. lanosum Nägeli & Peter,(Nägeli & Peter)
wfo-1200067142,urn:lsid:ipni.org:names:77373285-1,Hieracium murorum subsp. adenobifidum,Wilczek & Zahn,Syn. Mitteleur. Fl. 12(2): 421. 1931 [10 Aug 1931] ,,,
wfo-1200067148,urn:lsid:ipni.org:names:77373286-1,Hieracium murorum subsp. basalticiforme,Korb & Zahn,Mitth. Thüring. Bot. Vereins 39: 11. 1930 ,,,
wfo-1200067152,urn:lsid:ipni.org:names:77373288-1,Hieracium murorum subsp. boetzkesii,Zahn,Bull. Soc. Bot. Genève 16: 157. 1925 ,,,
wfo-1200067154,urn:lsid:ipni.org:names:77373289-1,Hieracium murorum subsp. brachylobosum,J.Vetter & Zahn,Magyar Bot. Lapok 25: 315. 1935 ,,,
wfo-1000086821,urn:lsid:ipni.org:names:77373290-1,Hieracium certovicae,Chrtek f. & Szeląg,Phytotaxa 733(1): 144. 2025 [9 Dec 2025] [epublished],,,
wfo-1200067155,urn:lsid:ipni.org:names:77373291-1,Hieracium murorum subsp. calvifrons,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 300. 1921 [10 May 1921] ",,,
wfo-1200067160,urn:lsid:ipni.org:names:77373292-1,Hieracium murorum subsp. cirritoidiforme,Zahn,Hierac. Alp. Mar. 159. 1916 [Dec 1916] ,,,
wfo-1200067165,urn:lsid:ipni.org:names:77373293-1,Hieracium murorum subsp. crepidanthes,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 296. 1921 [10 May 1921] ",,,
wfo-1200112068,urn:lsid:ipni.org:names:77373295-1,Hieracium murorum subsp. denticulatifrons,J.Vetter & Zahn,Syn. Mitteleur. Fl. 12(2): 373. 1931 [10 Oct 1931] ,,,
wfo-1200067171,urn:lsid:ipni.org:names:77373296-1,Hieracium murorum subsp. glandellatum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 315. 1921 [10 May 1921] ",,,
wfo-1200116334,urn:lsid:ipni.org:names:77373298-1,Hieracium murorum subsp. graminichlorum,Fen. & Zahn,"Beibl. Bot. Jahrb. Syst. 135: 27. 1925 , as 'graminochlorum'",,,
wfo-1200067174,urn:lsid:ipni.org:names:77373302-1,Hieracium murorum subsp. grypharioides,Zahn,Hierac. Alp. Mar. 162. 1916 [Dec 1916] ,,,
wfo-1200067179,urn:lsid:ipni.org:names:77373303-1,Hieracium murorum subsp. infralobatum,Zahn,Hierac. Alp. Mar. 162. 1916 [Dec 1916] ,,,
wfo-1200067180,urn:lsid:ipni.org:names:77373304-1,Hieracium murorum subsp. infrasericatum,Murr & Zahn,Allg. Bot. Z. Syst. 10: 99. 1904 ,,,
wfo-1200067181,urn:lsid:ipni.org:names:77373305-1,Hieracium murorum subsp. kassanum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 290. 1921 [10 May 1921] ",,,
wfo-1200067185,urn:lsid:ipni.org:names:77373306-1,Hieracium murorum subsp. longilacerum,Murr & Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 308. 1921 [10 May 1921] ",,,
wfo-1000043274,urn:lsid:ipni.org:names:77373307-1,Senecio tenuiflorus,(DC.) Sieber ex Sch.Bip.,Flora 28(no. 31): 498. 1845 [21 Aug 1845] ,,Asteraceae Erechtites tenuiflorus DC.,(DC.)
wfo-1200112069,urn:lsid:ipni.org:names:77373312-1,Hieracium murorum subsp. lorynsicum,Krafft & Zahn,Sonderscr. Komm. Voralbe. Landesmus. 5: 21. 1928 ,,,
wfo-1200067191,urn:lsid:ipni.org:names:77373313-1,Hieracium murorum subsp. marmarolense,Pamp. & Zahn,Syn. Mitteleur. Fl. 12(2): 420. 1931 [10 Oct 1931] ,,,
wfo-1200067193,urn:lsid:ipni.org:names:77373314-1,Hieracium murorum subsp. megaleiobium,Pamp. & Zahn,Syn. Mitteleur. Fl. 12(2): 392. 1931 [10 Oct 1931] ,,,
wfo-1200067195,urn:lsid:ipni.org:names:77373315-1,Hieracium murorum subsp. melanosphaeroides,Romieux & Zahn,"Bull. Soc. Bot. Genève 14: 121. 1923 , as 'melanospheroides'",,,
wfo-1200067198,urn:lsid:ipni.org:names:77373316-1,Hieracium murorum subsp. mundellum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 296. 1921 [10 May 1921] ",,,
wfo-1200067202,urn:lsid:ipni.org:names:77373317-1,Hieracium murorum subsp. odontobium,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 316. 1921 [10 May 1921] ",,,
wfo-1200067206,urn:lsid:ipni.org:names:77373318-1,Hieracium murorum subsp. persinuatum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 334. 1921 [10 May 1921] ",,,
wfo-1200067209,urn:lsid:ipni.org:names:77373319-1,Hieracium murorum subsp. polygonium,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 315. 1921 [10 May 1921] ",,,
wfo-1200067210,urn:lsid:ipni.org:names:77373320-1,Hieracium murorum subsp. psammogenoides,Zahn,Sonderscr. Komm. Voralbe. Landesmus. 5: 24. 1928 ,,,
wfo-1000086827,urn:lsid:ipni.org:names:77373322-1,Grindelia stenophylla,(Steyerm.) G.L.Nesom,Phytoneuron 57: 11. 2025 [30 Nov 2025] [epublished],,Asteraceae Grindelia arizonica  var. stenophylla Steyerm.,(Steyerm.)
wfo-1000065449,urn:lsid:ipni.org:names:77373327-1,Taraxacum pseudovenustum,Štěpánek & Kirschner,Preslia 95: 521. 2023 [21 Dec 2023] [epublished],,,
wfo-1000065448,urn:lsid:ipni.org:names:77373328-1,Taraxacum pygmaeum,Štěpánek & Kirschner,Preslia 95: 524. 2023 [21 Dec 2023] [epublished],,,
wfo-1000065447,urn:lsid:ipni.org:names:77373332-1,Taraxacum obesum,Štěpánek & Kirschner,Preslia 95: 550. 2023 [21 Dec 2023] [epublished],,,
wfo-1000065446,urn:lsid:ipni.org:names:77373335-1,Taraxacum pseudoursinum,Štěpánek & Kirschner,Preslia 95: 552. 2023 [21 Dec 2023] [epublished],,,
wfo-1200067211,urn:lsid:ipni.org:names:77373336-1,Hieracium murorum subsp. pseudobifidiforme,Pamp. & Zahn,Syn. Mitteleur. Fl. 12(2): 395. 1931 [30 Oct 1931] ,,,
wfo-1000065445,urn:lsid:ipni.org:names:77373337-1,Taraxacum jugicola,Štěpánek & Kirschner,Preslia 95: 558. 2023 [21 Dec 2023] [epublished],,,
wfo-1200067213,urn:lsid:ipni.org:names:77373339-1,Hieracium murorum subsp. pseudodiaphanoides,Gerstl. & Zahn,Magyar Bot. Lapok 25: 329. 1927 ,,,
wfo-1200067218,urn:lsid:ipni.org:names:77373340-1,Hieracium murorum subsp. pseudosilvularum,Zahn,Bull. Soc. Bot. Genève 16: 154. 1925 [15 Apr 1925] ,,,
wfo-1200067214,urn:lsid:ipni.org:names:77373341-1,Hieracium murorum subsp. pseudofritschii,Zahn,Syn. Mitteleur. Fl. 12(2): 386. 1931 [10 Oct 1931] ,,,
wfo-1200067219,urn:lsid:ipni.org:names:77373342-1,Hieracium murorum subsp. pseudosubulatidens,Pamp. & Zahn,Syn. Mitteleur. Fl. 12(2): 456. 1931 [10 Oct 1931] ,,,
wfo-1200067227,urn:lsid:ipni.org:names:77373343-1,Hieracium murorum subsp. semicontractum,P.Rossi & Zahn,Syn. Mitteleur. Fl. 12(2): 402. 1931 [10 Oct 1931] ,,,
wfo-1200067230,urn:lsid:ipni.org:names:77373344-1,Hieracium murorum subsp. semisilvaticiforme,Zahn,Magyar Bot. Lapok 25: 331. 1927 ,,,
wfo-1200067231,urn:lsid:ipni.org:names:77373345-1,Hieracium murorum subsp. semisilvularum,K.Harz & Zahn,Syn. Mitteleur. Fl. 12(2): 449. 1931 [10 Oct 1931] ,,,
wfo-1000065444,urn:lsid:ipni.org:names:77373346-1,Taraxacum ursinum,Štěpánek & Kirschner,Preslia 95: 561. 2023 [21 Dec 2023] [epublished],,,
wfo-1200067236,urn:lsid:ipni.org:names:77373347-1,Hieracium murorum subsp. subinfrasericatum,P.Rossi & Zahn,Syn. Mitteleur. Fl. 12(2): 473. 1931 [10 Oct 1931] ,,,
wfo-1200067242,urn:lsid:ipni.org:names:77373348-1,Hieracium murorum subsp. tofanae,Pamp. & Zahn,Syn. Mitteleur. Fl. 12(2): 473. 1931 [10 Oct 1931] ,,,
wfo-1200067245,urn:lsid:ipni.org:names:77373349-1,Hieracium murorum subsp. triangulilacerum,P.Rossi & Zahn,Syn. Mitteleur. Fl. 12(2): 392. 1931 [10 Oct 1931] ,,,
wfo-1200067250,urn:lsid:ipni.org:names:77373350-1,Hieracium murorum subsp. variilobum,Zahn,Hierac. Alp. Mar. 160. 1916 [Dec 1916] ,,,
wfo-1200067251,urn:lsid:ipni.org:names:77373351-1,Hieracium murorum subsp. wulfenii,Zahn,Syn. Mitteleur. Fl. 12(2): 468. 1931 [10 Oct 1931] ,,,
wfo-1000065443,urn:lsid:ipni.org:names:77373352-1,Taraxacum subelegantissimum,Štěpánek & Kirschner,Preslia 95: 570. 2023 [21 Dec 2023] [epublished],,,
wfo-1000065442,urn:lsid:ipni.org:names:77373353-1,Taraxacum innuptum,Štěpánek & Kirschner,Preslia 95: 572. 2023 [21 Dec 2023] [epublished],,,
wfo-1000065441,urn:lsid:ipni.org:names:77373355-1,Taraxacum paclovae,Štěpánek & Kirschner,Preslia 95: 576. 2023 [21 Dec 2023] [epublished],,,
wfo-1200098618,urn:lsid:ipni.org:names:77373356-1,Taraxacum sect. Oreodoxa,Štěpánek & Kirschner,Preslia 95: 580. 2023 [21 Dec 2023] [epublished],,,
wfo-1000065440,urn:lsid:ipni.org:names:77373357-1,Taraxacum incredibile,Štěpánek & Kirschner,Preslia 95: 580. 2023 [21 Dec 2023] [epublished],,,
wfo-0000039042,urn:lsid:ipni.org:names:77373358-1,Hieracium crepidiflorum,Polák,Oesterr. Bot. Z. 34: 155. 1884 ,,,
wfo-0000073989,urn:lsid:ipni.org:names:77373360-1,Hieracium murorum subsp. crepidiflorum,(Polák) Zahn,"Fl. Schweiz (Schinz), ed. 3. 2: 423. 1914 [Jul 1914] ",,Asteraceae Hieracium crepidiflorum Polák,(Polák)
wfo-1000086839,urn:lsid:ipni.org:names:77373361-1,Cota cinerea,"Yaşay., Bani & Özbek",Phytotaxa 733(2): 234. 2025 [11 Dec 2025] [epublished],,,
wfo-0000030773,urn:lsid:ipni.org:names:77373362-1,Hieracium murorum var. flavescens,Evers,Verh. K. K. Zool.-Bot. Ges. Wien 46: 87. 1896 ,,,
wfo-0000110499,urn:lsid:ipni.org:names:77373363-1,Hieracium murorum subsp. flavescens,(Evers) Zahn,Syn. Mitteleur. Fl. 12(2): 420. 1931 [10 Oct 1931] ,,Asteraceae Hieracium murorum L. var. flavescens Evers,(Evers)
wfo-1200099018,urn:lsid:ipni.org:names:77373364-1,Hieracium sylvaticum [infrasp.unranked] graminicolor,Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 282. 1905 [Sep 1905] ",,,
wfo-0000101086,urn:lsid:ipni.org:names:77373365-1,Hieracium murorum subsp. graminicolor,(Zahn) Zahn,"Fl. Schweiz (Schinz), ed. 3. 2: 422. 1914 [Jul 1914] ",,Asteraceae Hieracium sylvaticum (L.) Gouan [infrasp.unranked] graminicolor Zahn,(Zahn)
wfo-1200099434,urn:lsid:ipni.org:names:77373371-1,Hieracium sylvaticum subsp. oxyodontopsis,Touton & Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 386. 1906 ,,,
wfo-1200099429,urn:lsid:ipni.org:names:77373372-1,Hieracium carnosum subsp. ramosiforme,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1873. 1901 [Sep 1901] ",,,
wfo-0000110409,urn:lsid:ipni.org:names:77373374-1,Hieracium murorum subsp. ramosiforme,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 309. 1921 [10 May 1921] ",,Asteraceae Hieracium carnosum (Wiesb.) Dichtl subsp. ramosiforme Zahn,(Zahn)
wfo-0000026003,urn:lsid:ipni.org:names:77373375-1,Hieracium murorum subsp. serratifolium,(Jord. ex Boreau) Zahn,"Fl. Schweiz (Schinz), ed. 3. 2: 419. 1914 ",,Asteraceae Hieracium serratifolium Jord. ex Boreau,(Jord. ex Boreau)
wfo-1200099480,urn:lsid:ipni.org:names:77373378-1,Hieracium murorum subvar. subnemorense,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 304. 1921 [10 May 1921] ",,,
wfo-1200067238,urn:lsid:ipni.org:names:77373380-1,Hieracium murorum subsp. subnemorense,(Zahn) Zahn,Mitt. Naturf. Ges. Schaffhausen 5: 77. 1926 ,,Asteraceae Hieracium murorum L. subvar. subnemorense Zahn,(Zahn)
wfo-0000107974,urn:lsid:ipni.org:names:77373382-1,Hieracium murorum var. subsemisilvularum,Zahn,Naturwiss. Z. Lotos 74: 41. 1926 ,,,
wfo-0000066749,urn:lsid:ipni.org:names:77373383-1,Hieracium murorum subsp. subsemisilvularum,(Zahn) Zahn,Syn. Mitteleur. Fl. 12(2): 381. 1931 [10 Oct 1931] ,,Asteraceae Hieracium murorum L. var. subsemisilvularum Zahn,(Zahn)
wfo-0000102726,urn:lsid:ipni.org:names:77373384-1,Hieracium murorum subsp. sylvularum,(Boreau) Zahn,"Fl. Schweiz (Schinz), ed. 3. 2: 419. 1914 , as 'silvulárum'",,Asteraceae Hieracium sylvularum Boreau,(Boreau)
wfo-0000105002,urn:lsid:ipni.org:names:77373386-1,Hieracium neyranum subsp. grausonicum,Besse & Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 610. 1906 ,,,
wfo-0000064595,urn:lsid:ipni.org:names:77373387-1,Hieracium nigrescens subsp. nigrescentiforme,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1845. 1901 [Sep 1901] ",,,
wfo-0000092632,urn:lsid:ipni.org:names:77373389-1,Hieracium nigrescens subsp. pseudorhaeticum,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1845. 1901 [Sep 1901] ",,,
wfo-1200116418,urn:lsid:ipni.org:names:77373390-1,Hieracium nigrescens var. subneglectum,Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 547. 1906 ,,,
wfo-0000102981,urn:lsid:ipni.org:names:77373391-1,Hieracium nigrescens subsp. subneglectum,(Zahn) Zahn,Icon. Fl. Germ. Helv. (H.G.L. Reichenbach) 19(2): 178. 1908 ,,Asteraceae Hieracium nigrescens Willd. var. subneglectum Zahn,(Zahn)
wfo-1200067269,urn:lsid:ipni.org:names:77373404-1,Hieracium oxyodon subsp. leucochaetopodum,Fen. & Zahn,Beibl. Bot. Jahrb. Syst. 138: 23. 1927 ,,,
wfo-1200067271,urn:lsid:ipni.org:names:77373405-1,Hieracium oxyodon subsp. pseudoscabrellum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 64. 1921 [4 Feb 1921] ",,,
wfo-1200067282,urn:lsid:ipni.org:names:77373406-1,Hieracium pellitum subsp. leuconeuron,Zahn,Hierac. Alp. Mar. 240. 1916 [Dec 1916] ,,,
wfo-1200067290,urn:lsid:ipni.org:names:77373409-1,Hieracium plantagineum subsp. gapense,(Arv.-Touv.) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 106. 1921 [4 Feb 1921] ",,Asteraceae Hieracium dentatum Hoppe var. gapense Arv.-Touv.,(Arv.-Touv.)
wfo-1200067291,urn:lsid:ipni.org:names:77373410-1,Hieracium porrifolium subsp. longibracteum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 12. 1886 [Mar 1886] ,,,
wfo-1200067292,urn:lsid:ipni.org:names:77373412-1,Hieracium porrifolium subsp. niphanthum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 13. 1886 [Mar 1886] ,,,
wfo-1200067293,urn:lsid:ipni.org:names:77373413-1,Hieracium porrifolium subsp. pseudoporrifolium,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 14. 1886 [Mar 1886] ,,,
wfo-1200067294,urn:lsid:ipni.org:names:77373414-1,Hieracium porrifolium subsp. sparsiglandulum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 13. 1886 [Mar 1886] ,,,
wfo-1200067318,urn:lsid:ipni.org:names:77373416-1,Hieracium prenanthoides subsp. valdegriseum,Zahn,Hierac. Alp. Mar. 275. 1916 [Dec 1916] ,,,
wfo-0000074604,urn:lsid:ipni.org:names:77373419-1,Hieracium pulchellum,Gren. ex Griseb.,Abh. Königl. Ges. Wiss. Göttingen 5: 144. 1853 ,,,
wfo-0000079041,urn:lsid:ipni.org:names:77373420-1,Hieracium pulchellum subsp. pleioscapum,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1830. 1901 ",,,
